id,condition_name,condition_name_en,condition_name_th,criterior,risk_problems,recommendation,risk_bullets_th,recommendation_bullets_th,risk_bullets_en,recommendation_bullets_en
1,High_Recyclable_Potential,High Recyclable Potential,ศักยภาพรีไซเคิลสูง,recycling_efficiency_score > -20 AND recyclable_recovery_momentum > -30 AND waste_segregation_quality > -0.10,Recycling metrics stable or slightly declining but significant room for improvement. Current segregation adequate foundation for expansion. Untapped recyclable materials likely in general waste. Revenue opportunity from increased recycling.,"Conduct waste composition audit to quantify recyclables in general waste. Expand recycling categories if infrastructure allows (plastics #3-7, textiles, specialty materials). Pilot advanced segregation in high-performing areas first. Partner with recycling vendor for revenue share arrangement. Market the environmental and financial benefits internally.",ยังมีวัสดุรีไซเคิลในขยะทั่วไปจำนวนมาก|ระบบคัดแยกปัจจุบันพร้อมต่อยอด|มีโอกาสสร้างรายได้จากรีไซเคิลเพิ่ม,ตรวจสอบองค์ประกอบขยะเพื่อหาวัสดุรีไซเคิล|ขยายหมวดรีไซเคิลที่รับได้|เจรจาแบ่งรายได้กับผู้รับซื้อ,Significant recyclables still in general waste|Current segregation ready to expand|Revenue opportunity from increased recycling,Audit waste composition to find recyclables|Expand accepted recycling categories|Negotiate revenue share with buyers
2,Circular_Economy_Foundation,Circular Economy Foundation,พื้นฐานเศรษฐกิจหมุนเวียน,circular_economy_score > -20 AND resource_recovery_potential > -50,Good foundation for circular economy initiatives. Material recovery systems partially functional. Opportunity to dramatically improve by closing material loops and increasing recovery rates.,Identify opportunities to use recovered materials internally or sell to other organizations. Establish partnerships for material exchanges. Implement 'design for recycling' principles in procurement. Create reverse logistics for packaging materials from suppliers. Consider establishing material recovery facility or partnership. Showcase circular success stories.,ระบบ Circular Economy มีพื้นฐานดี|การนำวัสดุกลับมาใช้ยังขยายได้อีก|มีโอกาสปิดวงจรวัสดุให้สมบูรณ์,หาช่องทางใช้วัสดุที่กู้คืนภายในองค์กร|ร่วมมือแลกเปลี่ยนวัสดุกับพันธมิตร|กำหนดเกณฑ์จัดซื้อที่เอื้อรีไซเคิล,Good circular economy foundation|Material recovery can be expanded|Opportunity to close material loops,Find internal uses for recovered materials|Partner for material exchanges|Set procurement criteria favoring recyclability
3,Construction_Waste_Gold_Mine,Construction Waste Gold Mine,ขุมทองขยะก่อสร้าง,construction_volume_impact > -100 AND construction_recycling_rate > -10 AND construction_waste_intensity < 5,"Construction waste present but not excessive. Recycling rate stable. Significant value recovery opportunity - construction materials have high recycling value (metal, concrete aggregate, wood). Often overlooked revenue stream.","Establish dedicated construction waste segregation area with material-specific containers. Partner with specialized construction recyclers (metal, concrete, wood). Implement jobsite waste tracking with recycling goals. Salvage reusable materials for future projects. Calculate and communicate cost savings from diversion vs disposal. Consider deconstruction training for maintenance staff.",วัสดุก่อสร้าง (เหล็ก คอนกรีต ไม้) มีมูลค่าสูง|อัตรารีไซเคิลยังคงที่ ขยายได้|มักถูกมองข้ามเป็นแหล่งรายได้,จัดพื้นที่คัดแยกวัสดุก่อสร้างโดยเฉพาะ|ร่วมมือกับผู้รับซื้อวัสดุก่อสร้างรีไซเคิล|คำนวณต้นทุนที่ประหยัดได้จาก Diversion,"Construction materials (metal, concrete, wood) have high value|Recycling rate stable with room to grow|Often overlooked revenue stream",Set up dedicated construction waste segregation area|Partner with construction material recyclers|Calculate cost savings from diversion
4,Organic_Value_Creation,Organic Value Creation,การสร้างมูลค่าจากขยะอินทรีย์,organic_diversion_score < 100 AND organic_processing_efficiency > -50,Moderate organic waste without established diversion. Opportunity to create value through composting or energy recovery. Organic waste is pure cost when landfilled but valuable resource when processed.,"Business case analysis: compare disposal costs vs composting/energy recovery fees plus potential compost value. Pilot organic segregation in cafeteria or landscaping areas. Partner with local farms, community gardens, or composting facilities. If volume sufficient, consider on-site composting with finished compost for landscaping. Measure and publicize environmental benefits (landfill diversion, methane prevention).",ขยะอินทรีย์ยังไม่ได้นำไปใช้ประโยชน์|ฝังกลบ = เสียเงิน แต่แปรรูป = มีมูลค่า|มีโอกาสทำปุ๋ยหรือพลังงาน,เปรียบเทียบต้นทุนฝังกลบ vs ทำปุ๋ย|ทดลองคัดแยกอินทรีย์จากโรงอาหาร|ร่วมมือกับฟาร์มหรือสวนชุมชน,"Organic waste not yet utilized|Landfilling = cost, processing = value|Composting or energy recovery opportunity",Compare landfill vs composting costs|Pilot organic segregation from cafeteria|Partner with farms or community gardens
5,Energy_Recovery_Expansion,Energy Recovery Expansion,การขยายการผลิตพลังงานจากขยะ,energy_recovery_optimization > -30 AND waste_to_energy_conversion_rate > -5,Waste-to-energy infrastructure accessible and utilized. Opportunity to optimize and expand. Can divert significant waste from landfills while offsetting energy costs. Particularly valuable for non-recyclable combustibles.,Analyze waste composition for additional energy recovery potential. Optimize material preparation for energy facility specifications. Negotiate favorable rates or energy credit arrangements. Educate staff on what can/cannot go to energy recovery. Consider if suitable for heat/power generation on-site. Calculate and communicate environmental benefits vs landfill.,มีระบบ Waste-to-Energy แต่ใช้ไม่เต็มที่|ขยายได้อีกจากขยะที่รีไซเคิลไม่ได้|ลดค่าพลังงานและค่าฝังกลบได้,วิเคราะห์ขยะที่เหมาะกับ Energy Recovery|เจรจาอัตราค่าบริการที่ดีกว่า|อบรมพนักงานเรื่องวัสดุที่ส่งแปลงพลังงานได้,Waste-to-energy system not fully utilized|Room to expand with non-recyclable waste|Can reduce energy and landfill costs,Analyze waste suitable for energy recovery|Negotiate better service rates|Train staff on energy-recoverable materials
6,Electronic_Asset_Recovery,Electronic Asset Recovery,การกู้คืนทรัพย์สินอิเล็กทรอนิกส์,electronic_stewardship_index > -20 AND electronic_waste_responsibility > -15,"E-waste generation moderate and manageable. Opportunity to recover valuable materials and data security. E-waste contains precious metals, rare earths, and reusable components. Also represents data security risk requiring proper handling.",Establish certified e-waste partnership with asset recovery focus. Implement IT asset lifecycle management system. Evaluate refurbishment and resale programs for functional equipment. Consider donation programs for usable electronics (tax benefits). Ensure data destruction certification. Track material recovery value. Consider equipment leasing to transfer end-of-life responsibility.,E-waste อยู่ในระดับจัดการได้|มีโลหะมีค่าและชิ้นส่วนที่ใช้ซ้ำได้|โอกาสกู้คืนมูลค่าและจัดการข้อมูลปลอดภัย,ร่วมมือกับผู้รับ e-waste ที่เน้นกู้คืนทรัพย์สิน|ทำระบบจัดการวงจรชีวิตอุปกรณ์ IT|พิจารณาซ่อม/ขายต่อก่อนทิ้ง,E-waste at manageable level|Contains precious metals and reusable parts|Opportunity for value recovery and data security,Partner with e-waste recycler focused on asset recovery|Implement IT asset lifecycle management|Consider refurbish/resale before disposal
7,Zero_Waste_Achievability,Zero Waste Achievability,ความเป็นไปได้สู่ Zero Waste,zero_waste_progress_score > 20 AND diversion_rate_improvement > 5,Strong positive momentum toward zero waste. All key metrics improving. Opportunity to achieve zero waste certification or similar recognition. Can become model for other facilities or industry.,Set ambitious zero waste goal (90%+ diversion) with timeline. Identify remaining waste streams and develop specific diversion strategies. Pursue zero waste certification through USGBC or TRUE. Document journey for case study and marketing. Establish partnerships to handle difficult waste streams. Create zero waste taskforce to maintain momentum and problem-solve barriers.,กำลังมุ่งหน้าสู่ Zero Waste อย่างดี|ตัวชี้วัดทุกตัวดีขึ้นต่อเนื่อง|ใกล้ถึงเป้าหมายรับรอง Zero Waste,ตั้งเป้า Diversion 90%+ พร้อมไทม์ไลน์|หาทางจัดการขยะที่เหลือ|ดำเนินการขอ Zero Waste Certification,Strong momentum toward zero waste|All metrics consistently improving|Close to zero waste certification target,Set 90%+ diversion target with timeline|Address remaining waste streams|Pursue zero waste certification
8,Segregation_Excellence_Building,Segregation Excellence Building,การสร้างความเป็นเลิศในการคัดแยก,waste_segregation_quality > 0.10 AND contamination_risk_index < -0.05,Segregation quality improving significantly. Low contamination risk. Indicates staff engagement and effective infrastructure. Opportunity to become best-in-class and expand program.,Recognize and reward high-performing areas/teams. Document best practices for replication. Expand successful segregation models to additional areas. Pilot new waste categories with engaged population first. Use success stories in training. Consider peer-to-peer education programs. Measure and share both environmental and cost benefits.,คุณภาพคัดแยกดีขึ้นอย่างชัดเจน|การปนเปื้อนต่ำ|พนักงานมีส่วนร่วมดี พร้อมขยายผล,ให้รางวัลทีมที่ทำได้ดี|จดบันทึก Best Practice เพื่อขยายผล|ทดลองเพิ่มหมวดวัสดุใหม่,"Segregation quality clearly improving|Low contamination rates|Good staff engagement, ready to expand",Reward high-performing teams|Document best practices for replication|Pilot new material categories
9,Hazardous_Minimization_Progress,Hazardous Minimization Progress,ความก้าวหน้าในการลดของเสียอันตราย,hazardous_risk_score > 30 AND hazardous_compliance_index > 15,"Hazardous waste successfully declining. Compliance strong. Opportunity to achieve near-zero hazardous waste through material substitution and process optimization. Reduces risk, costs, and regulatory burden.","Systematic review of all hazardous material use for substitution opportunities (green chemistry, safer alternatives). Optimize processes to reduce hazardous waste generation. Implement closed-loop systems for hazardous materials. Share successful substitutions across departments. Pursue environmental excellence awards. Reduce hazardous waste storage and handling costs.",ขยะอันตรายลดลงได้ดี|ผ่านข้อกำหนดมาตรฐาน|มีโอกาสลดเหลือใกล้ศูนย์,ทบทวนวัสดุอันตรายทั้งหมดเพื่อหาตัวทดแทน|ปรับกระบวนการลดการเกิดขยะอันตราย|ใช้ระบบ Closed-Loop สำหรับวัสดุอันตราย,Hazardous waste declining well|Strong compliance record|Opportunity to reach near-zero hazardous waste,Review all hazardous materials for substitution|Optimize processes to reduce hazardous waste|Implement closed-loop systems for hazardous materials
10,Waste_Prevention_Leadership,Waste Prevention Leadership,ผู้นำด้านการป้องกันขยะ,waste_prevention_effectiveness > 100 AND waste_intensity_improvement > 10,Excellent source reduction performance. Waste prevented at source is most effective strategy. Opportunity to embed prevention culture and become industry leader.,"Document and share prevention success stories and ROI. Integrate waste prevention into design, procurement, and operational processes. Train staff on prevention hierarchy (reduce first, then reuse, recycle). Establish waste prevention metrics in performance reviews. Pursue awards and recognition for prevention leadership. Consider offering prevention workshops to industry peers or community.",ลดขยะจากต้นทางได้ดีเยี่ยม|โอกาสฝัง Culture ลดขยะในองค์กร|พร้อมเป็นผู้นำด้าน Waste Prevention,จดบันทึกและแชร์ผลสำเร็จ|บูรณาการลดขยะเข้ากับทุกกระบวนการ|เสนอขอรางวัลด้านความยั่งยืน,Excellent source reduction performance|Opportunity to embed prevention culture|Ready to lead in waste prevention,Document and share success stories|Integrate waste prevention into all processes|Pursue sustainability awards
