id,condition_name,criterior,risk_problems,recommendation,risk_bullets_th,recommendation_bullets_th,risk_bullets_en,recommendation_bullets_en
1,Simple_Signage_Fix,"waste_segregation_quality < -0.08 AND waste_segregation_quality > -0.15 AND contamination_risk_index > 0.05 AND contamination_risk_index < 0.25","Moderate segregation quality decline with manageable contamination. Often caused by unclear or missing signage. Quick, low-cost intervention can reverse trend before serious deterioration.","Immediate action: Audit all waste station signage for clarity, visibility, and condition. Replace faded, damaged, or confusing signs. Add visual guides (pictures of items) not just text. Use consistent color coding. Ensure multilingual signage if needed. Add 'contamination examples' showing what NOT to include. Budget: ~$500-2000, Timeline: 1-2 weeks, Impact: 10-20% segregation improvement.","คัดแยกแย่ลงเล็กน้อย มักเกิดจากป้ายไม่ชัด|การปนเปื้อนยังอยู่ในระดับจัดการได้|แก้ไขเร็วและต้นทุนต่ำ","ตรวจสอบและเปลี่ยนป้ายคัดแยกที่ซีดจาง|เพิ่มรูปภาพตัวอย่างบนป้าย ไม่ใช่แค่ข้อความ|ใช้สีที่สอดคล้องกันทุกจุด","Slight segregation decline, often caused by unclear signage|Contamination still manageable|Quick, low-cost fix available","Audit and replace faded segregation signs|Add visual examples on signs, not just text|Use consistent color coding at all stations"
2,Bin_Placement_Optimization,"recycling_efficiency_score < -30 AND recycling_efficiency_score > -60 AND general_waste_minimization < -40","Declining recycling with increasing general waste. Often caused by inconvenient bin placement - people use whatever bin is closest. Simple relocation can significantly improve performance.","Walk facility with staff to identify convenience gaps. Place recycling bins directly adjacent to general waste (paired placement). Add recycling bins in high-generation areas (break rooms, copy rooms, near vending). Remove general waste from areas where recyclables generated. Ensure adequate capacity. Budget: ~$1000-5000 for bins, Timeline: 1-3 weeks, Impact: 15-25% recycling increase.","รีไซเคิลลดลง คนทิ้งถังที่ใกล้สุด|ตำแหน่งถังไม่สะดวก|ย้ายถังก็เพิ่มรีไซเคิลได้ทันที","วางถังรีไซเคิลคู่กับถังขยะทั่วไป|เพิ่มถังในจุดที่เกิดขยะมาก (ห้องพัก ห้องถ่ายเอกสาร)|เอาถังขยะทั่วไปออกจากจุดที่ควรรีไซเคิล","Recycling down, people use nearest bin|Bin placement inconvenient|Simple relocation can boost recycling","Place recycling bins next to general waste bins|Add bins in high-waste areas (break rooms, copy areas)|Remove general waste bins from recyclable zones"
3,Quick_Training_Refresh,"waste_segregation_quality < -0.10 AND overall_waste_reduction_rate < -80 AND overall_waste_reduction_rate > -200","Moderate performance decline across metrics. Often indicates staff turnover or knowledge gaps. Quick training intervention can restore performance. New staff may not know systems.","Conduct 30-minute lunch-and-learn sessions across all shifts. Create 5-minute onboarding video on waste segregation. Send email refresher with photos of proper segregation. Post FAQ at each waste station. Assign department champions for peer training. Budget: ~$2000-5000 (staff time + materials), Timeline: 2-4 weeks, Impact: 15-30% improvement across metrics.","ผลงานลดลงหลายตัวชี้วัด|มักเกิดจากพนักงานใหม่หรือขาดความรู้|อบรมสั้นๆ ช่วยฟื้นผลงานได้","จัดอบรม 30 นาทีในทุกกะ|ทำวิดีโอสั้น 5 นาทีสำหรับพนักงานใหม่|ติดป้าย FAQ ที่จุดคัดแยก","Performance declining across metrics|Often from staff turnover or knowledge gaps|Quick training can restore performance","Run 30-min training sessions across shifts|Create 5-min onboarding video|Post FAQ at each waste station"
4,Cafeteria_Organic_Pilot,"organic_diversion_score > 50 AND organic_diversion_score < 150 AND organic_processing_efficiency < -30","Moderate organic waste increase. Cafeteria/food service typically concentrated source - easy to pilot. High visibility location for demonstrating commitment. Quick win builds momentum for broader program.","Install clearly labeled compost bins at cafeteria tray drop-off. Staff one monitor during initial launch week for guidance. Partner with composting facility for collection. Track diversion metrics and publicize. Add signage showing environmental impact. Budget: ~$3000-8000 (bins, collection, monitoring), Timeline: 4-6 weeks, Impact: 30-50% organic diversion from cafeteria.","ขยะอินทรีย์เพิ่มขึ้น โรงอาหารเป็นจุดหลัก|เป็นจุดที่มองเห็นง่าย เหมาะเริ่มนำร่อง|สร้างแรงส่งสำหรับโปรแกรมที่ใหญ่ขึ้น","ติดตั้งถังคอมโพสต์ที่จุดคืนถาด|มีคนดูแลช่วงสัปดาห์แรก|ร่วมมือกับโรงปุ๋ยหมักรับไปกำจัด","Organic waste up, cafeteria is main source|High-visibility location, ideal for pilot|Builds momentum for broader program","Install compost bins at tray drop-off|Staff a monitor during launch week|Partner with composting facility for collection"
5,Cardboard_Baler_ROI,"construction_volume_impact > -100 AND recyclable_recovery_momentum < -40 AND circular_economy_score < -30","Significant recyclable materials not captured, particularly if construction/warehouse operations. Cardboard baling can generate revenue and reduce collection frequency. Fast payback on equipment.","Evaluate cardboard volume and baler ROI. Small balers cost $3-8K, pay back in 6-18 months through reduced collection and material revenue. Dedicate area for cardboard collection and baling. Train staff on baler operation. Negotiate direct sales to recyclers. Budget: ~$3000-10000, Timeline: 4-8 weeks, Impact: 20-40% recyclable recovery increase + revenue.","วัสดุรีไซเคิลจำนวนมากยังไม่ถูกเก็บ|กระดาษลังอัดก้อนสร้างรายได้ได้|อุปกรณ์คืนทุนใน 6-18 เดือน","ประเมินปริมาณกระดาษลังและ ROI ของเครื่องอัด|จัดพื้นที่สำหรับรวบรวมและอัดก้อน|เจรจาขายตรงกับผู้รับซื้อ","Significant recyclables not being captured|Cardboard baling generates revenue|Equipment pays back in 6-18 months","Evaluate cardboard volume and baler ROI|Dedicate area for collection and baling|Negotiate direct sales to recyclers"
6,Simple_Reuse_Program,"waste_prevention_effectiveness < -60 AND waste_prevention_effectiveness > -150 AND circular_economy_score < -40","Moderate waste increase, likely includes reusable items being discarded. Office supplies, packaging, containers often reusable. Simple collection and redistribution system can reduce purchases and waste.","Establish supply exchange area for reusable items (folders, binders, packaging materials, boxes). Send monthly 'available items' email. Create take-what-you-need shelf. Save moving boxes for next moves. Implement reusable dish/mug program in break rooms. Budget: ~$500-2000 (shelving, communication), Timeline: 2-3 weeks, Impact: 10-20% waste prevention.","ขยะเพิ่มขึ้น มีของที่ใช้ซ้ำได้ถูกทิ้ง|อุปกรณ์สำนักงานและบรรจุภัณฑ์ใช้ซ้ำได้|ระบบแลกเปลี่ยนง่ายๆ ลดขยะได้","จัดมุมแลกเปลี่ยนอุปกรณ์ใช้ซ้ำ|ส่งอีเมลรายเดือนแจ้งของที่มี|ใช้แก้ว/จานซ้ำในห้องพัก","Waste up, reusable items being discarded|Office supplies and packaging can be reused|Simple exchange system reduces waste","Set up reuse exchange area|Send monthly 'available items' email|Use reusable dishes/mugs in break rooms"
7,Double_Sided_Default_Printing,"general_waste_minimization < -50 AND waste_prevention_effectiveness < -80","General waste increasing, likely includes paper. Printing defaults to single-sided in most organizations. Changing default to duplex halves paper waste with zero behavior change required.","IT department changes all printer defaults to duplex. Maintain single-side option for exceptions. Add print preview default to reduce unnecessary prints. Implement print quota awareness. Encourage digital document sharing. Budget: ~$0-500 (IT time), Timeline: 1 week, Impact: 30-50% paper waste reduction, immediate.","ขยะทั่วไปเพิ่ม น่าจะรวมกระดาษ|พิมพ์หน้าเดียวเป็นค่าเริ่มต้น|เปลี่ยนเป็นสองหน้าลดขยะกระดาษครึ่งหนึ่ง","ให้ IT เปลี่ยนค่าเริ่มต้นเครื่องพิมพ์เป็น Duplex|เปิด Print Preview เป็นค่าเริ่มต้น|ส่งเสริมการแชร์เอกสารแบบดิจิทัล","General waste up, likely includes paper|Single-sided printing is default|Switching to duplex halves paper waste","IT changes printer default to duplex|Enable print preview by default|Encourage digital document sharing"
8,Maintenance_Area_Segregation,"construction_volume_impact < -150 AND construction_recycling_rate < -10 AND special_waste_handling_score < -30","Construction/maintenance waste increasing with poor segregation. Maintenance areas often lack proper waste infrastructure. Quick infrastructure addition enables segregation. High-value materials (metal, wood) being mixed and landfilled.","Install segregated bins in maintenance/workshop areas (metal, wood, general). Label clearly with examples. Train maintenance staff on segregation value. Partner with metal recycler for regular pickup. Budget: ~$2000-5000 (bins, training), Timeline: 2-3 weeks, Impact: 40-60% construction waste diversion.","ขยะซ่อมบำรุงเพิ่มแต่ไม่ได้คัดแยก|วัสดุมีค่า (เหล็ก ไม้) ถูกทิ้งรวมกัน|เพิ่มถังคัดแยกแก้ปัญหาได้เร็ว","ติดตั้งถังแยกในพื้นที่ซ่อมบำรุง (เหล็ก ไม้ ทั่วไป)|อบรมช่างเรื่องมูลค่าการคัดแยก|ทำสัญญารับซื้อเหล็กประจำ","Maintenance waste up without segregation|Valuable materials (metal, wood) mixed and landfilled|Adding bins fixes the issue quickly","Install segregated bins in maintenance areas (metal, wood, general)|Train maintenance staff on segregation value|Set up regular metal recycler pickup"
9,E_Waste_Collection_Event,"electronic_stewardship_index < -15 AND electronic_waste_responsibility < -10 AND special_waste_handling_score < -20","E-waste accumulating. People often store old electronics (uncertainty about disposal). One-time collection event can clear backlog and establish system. Partner does heavy lifting.","Organize quarterly or annual e-waste collection event with certified recycler. Promote widely to staff. Accept personal electronics to build goodwill. Provide data destruction certificates. Use event to educate on ongoing e-waste disposal options. Budget: ~$500-3000 (partner fee, promotion), Timeline: 4-6 weeks to organize, Impact: immediate e-waste clearance + ongoing system.","E-waste สะสมเพราะไม่รู้จะทิ้งอย่างไร|จัดกิจกรรมเก็บครั้งเดียวเคลียร์ได้|พันธมิตรรับจัดการให้","จัดกิจกรรมเก็บ e-waste รายไตรมาส|รับอุปกรณ์ส่วนตัวด้วยเพื่อสร้างความร่วมมือ|ให้ใบรับรองทำลายข้อมูล","E-waste accumulating due to disposal uncertainty|One-time collection event clears backlog|Partner handles the heavy lifting","Organize quarterly e-waste collection event|Accept personal electronics to build goodwill|Provide data destruction certificates"
10,Eliminate_Individual_Desk_Bins,"general_waste_minimization < -60 AND recycling_efficiency_score < -40 AND contamination_risk_index > 0.10","General waste increasing, recycling decreasing, contamination rising. Individual desk bins make recycling inconvenient and enable contamination. Removing them forces use of central segregation stations. Proven effective in many organizations.","Remove individual desk bins, provide centralized segregation stations only. Offer small compost bin for food if needed. Communicate as waste reduction initiative. Monitor adoption and adjust station locations as needed. Budget: ~$0 (may sell/repurpose old bins), Timeline: 1-2 weeks, Impact: 15-30% improvement in segregation and recycling.","ขยะเพิ่ม รีไซเคิลลด ปนเปื้อนสูง|ถังส่วนตัวทำให้คนไม่คัดแยก|เอาถังออกบังคับใช้จุดคัดแยกกลาง","เอาถังขยะส่วนตัวออก ให้ใช้จุดรวมกลาง|สื่อสารว่าเป็นโครงการลดขยะ|ปรับตำแหน่งจุดรวมตามพฤติกรรม","Waste up, recycling down, contamination rising|Desk bins enable poor segregation|Removing them forces use of central stations","Remove desk bins, use centralized stations only|Communicate as waste reduction initiative|Adjust station locations based on behavior"
