id,condition_name,condition_name_en,condition_name_th,criterior,risk_problems,recommendation,risk_bullets_th,recommendation_bullets_th,risk_bullets_en,recommendation_bullets_en
1,Critical_Hazardous_Increase,Critical Hazardous Increase,ของเสียอันตรายเพิ่มขึ้นวิกฤต,hazardous_risk_score < -50 AND hazardous_compliance_index < -20,"Hazardous and bio-hazardous waste volumes increasing significantly (>50kg). High non-compliance risk with environmental regulations. Potential fines, operational shutdowns, and serious environmental/health incidents.",Immediate audit of hazardous material usage and storage practices. Implement strict inventory controls and material substitution program. Engage certified hazardous waste contractor for emergency assessment. Consider management system certification (ISO 14001).,ขยะอันตรายเพิ่มขึ้นมาก เสี่ยงผิดกฎหมายสิ่งแวดล้อม|อาจถูกปรับหรือระงับการดำเนินงาน|กระทบความปลอดภัยของบุคลากร,ตรวจสอบการจัดเก็บวัตถุอันตรายทันที|หาวัสดุทดแทนที่ปลอดภัยกว่า|จ้างผู้เชี่ยวชาญประเมินและจัดการ,"Hazardous waste up significantly, risk of environmental law violation|Potential fines or operational shutdown|Staff safety at risk",Audit hazardous material storage immediately|Find safer substitute materials|Engage certified waste specialist
2,General_Waste_Trend_Rising,General Waste Trend Rising,แนวโน้มขยะทั่วไปเพิ่มขึ้น,overall_waste_reduction_rate < -200 AND general_waste_minimization < -100,Total waste generation increasing by >200kg with general waste rising >100kg. Indicates systematic breakdown in waste management. Rising operational costs and environmental footprint. May signal process inefficiencies or lack of staff awareness.,Conduct comprehensive waste audit to identify major sources. Review operational changes in recent period. Implement immediate waste tracking and measurement systems. Schedule staff training on waste segregation and reduction. Set departmental waste reduction targets.,ขยะทั่วไปเพิ่มขึ้นอย่างต่อเนื่อง|ต้นทุนกำจัดขยะสูงขึ้น|ระบบคัดแยกอาจไม่ทำงานตามเป้า,ตรวจสอบแหล่งกำเนิดขยะหลัก|จัดอบรมพนักงานเรื่องการคัดแยก|ตั้งเป้าลดขยะรายแผนก,General waste rising continuously|Disposal costs increasing|Segregation system may be underperforming,Identify main waste sources|Train staff on segregation|Set waste reduction targets per department
3,Recycling_Program_Deterioration,Recycling Program Deterioration,โครงการรีไซเคิลเสื่อมถอย,recycling_efficiency_score < -80 AND waste_segregation_quality < -0.15,Recyclable waste decreasing while general waste increasing significantly. Segregation quality dropping 15+ percentage points. Suggests recycling program collapse or contamination issues. Lost revenue from recyclables and increased disposal costs.,"Investigate cause of recycling program breakdown - check if collection infrastructure removed, contractor issues, or staff behavior change. Re-establish clear segregation stations with signage. Conduct refresher training. Consider incentive programs for proper segregation.",วัสดุรีไซเคิลที่เก็บได้ลดลงมาก|คุณภาพการคัดแยกตกต่ำ|สูญเสียรายได้จากวัสดุรีไซเคิล,ตรวจสอบจุดรวบรวมและป้ายคัดแยก|ทบทวนสัญญาผู้รับซื้อ|จัดอบรมทบทวนให้พนักงาน,Recyclable collection declining significantly|Segregation quality dropping|Lost revenue from recyclables,Check collection points and signage|Review buyer contracts|Conduct refresher training for staff
4,Construction_Waste_Surge,Construction Waste Surge,ขยะก่อสร้างพุ่งสูง,construction_volume_impact < -300 AND construction_waste_intensity > 10,Construction waste increased >200kg with intensity rising >10%. May indicate new construction projects without waste management plans. High disposal costs and potential regulatory scrutiny for construction waste handling.,"Require waste management plans for all construction projects. Mandate segregation of construction materials (metal, wood, concrete, drywall). Identify local recyclers for construction materials. Consider deconstruction vs demolition approaches. Track by project for accountability.",ขยะก่อสร้างเพิ่มขึ้นโดยไม่มีแผนจัดการ|ค่าใช้จ่ายกำจัดสูง|เสี่ยงถูกตรวจสอบจากหน่วยงานรัฐ,กำหนดแผนจัดการขยะก่อนเริ่มโครงการ|คัดแยกวัสดุก่อสร้าง (เหล็ก ไม้ คอนกรีต)|หาผู้รับซื้อวัสดุก่อสร้างในพื้นที่,Construction waste up without a management plan|High disposal costs|Risk of regulatory inspection,"Require waste plan before starting projects|Segregate construction materials (metal, wood, concrete)|Find local construction material buyers"
5,Electronic_Waste_Accumulation,Electronic Waste Accumulation,ขยะอิเล็กทรอนิกส์สะสม,electronic_stewardship_index < -30 AND special_waste_handling_score < -25,E-waste increasing >30% while special waste handling deteriorating. Suggests equipment upgrades without proper disposal planning. Risk of toxic material leaching and data security breaches from improper e-waste disposal.,Establish electronics lifecycle management policy. Partner with certified e-waste recyclers offering data destruction. Implement asset tracking for electronics. Consider equipment leasing vs ownership. Evaluate repair and refurbishment options before disposal.,ขยะอิเล็กทรอนิกส์สะสมเพิ่มขึ้น|เสี่ยงสารพิษรั่วไหลและข้อมูลรั่ว|ขาดแผนกำจัดอุปกรณ์เก่า,ร่วมมือกับผู้รับซื้อ e-waste ที่ได้มาตรฐาน|ทำทะเบียนอุปกรณ์อิเล็กทรอนิกส์|พิจารณาซ่อม/ปรับปรุงก่อนทิ้ง,E-waste accumulating|Risk of toxic leaks and data breaches|No plan for old equipment disposal,Partner with certified e-waste recyclers|Track electronic assets|Consider repair/refurbish before disposal
6,Organic_Waste_Escalation,Organic Waste Escalation,ขยะอินทรีย์เพิ่มขึ้นต่อเนื่อง,organic_diversion_score > 150 AND organic_processing_efficiency < -100,Organic waste increasing >150kg without corresponding energy recovery increase. Missed composting/energy recovery opportunities. High methane emissions if landfilled. Wasted resource that could generate value through composting or energy.,"Investigate organic waste sources (food service, landscaping, packaging). Implement organic waste segregation program. Explore partnerships with composting facilities or farms. Consider on-site composting for landscaping waste. Evaluate food waste reduction opportunities in cafeterias.",ขยะอินทรีย์เพิ่มขึ้นแต่ไม่มีการนำไปใช้ประโยชน์|ปล่อยก๊าซมีเทนหากฝังกลบ|เสียโอกาสทำปุ๋ยหมักหรือพลังงาน,คัดแยกขยะอินทรีย์ออกจากขยะทั่วไป|ร่วมมือกับฟาร์มหรือโรงปุ๋ย|ลดอาหารเหลือทิ้งจากโรงอาหาร,Organic waste up but not utilized|Methane emissions if landfilled|Missed composting/energy opportunity,Segregate organic waste from general waste|Partner with farms or composting facilities|Reduce food waste from cafeterias
7,Zero_Waste_Regression,Zero Waste Regression,ถดถอยจากเป้าหมาย Zero Waste,zero_waste_progress_score < -50 AND diversion_rate_improvement < -8,"Overall zero waste metrics declining significantly. Diversion rate dropped >8 percentage points. Indicates major setback in sustainability goals. May impact corporate sustainability commitments, certifications, or stakeholder expectations.",Emergency review of waste management program with senior leadership. Benchmark against previous successful periods to identify changes. Re-establish waste reduction taskforce with cross-functional representation. Review and update sustainability goals with realistic timelines and resources.,ตัวชี้วัด Zero Waste ถดถอยลง|อัตราการนำขยะกลับมาใช้ลดลงมาก|กระทบเป้าหมายความยั่งยืนขององค์กร,ทบทวนโปรแกรมจัดการขยะกับผู้บริหาร|เปรียบเทียบกับช่วงที่ทำได้ดี|ตั้งทีมงานลดขยะข้ามแผนก,Zero waste metrics declining|Diversion rate dropped significantly|Impacts sustainability goals,Review waste program with leadership|Benchmark against best-performing periods|Form cross-department waste reduction team
8,Hazardous_Volume_Intensity_Rising,Hazardous Volume Intensity Rising,ปริมาณของเสียอันตรายเข้มข้นขึ้น,hazardous_volume_intensity > 5 AND bio_safety_improvement < -20,Hazardous waste becoming larger proportion of total waste (>5 ppt increase). Bio-hazardous waste increasing >20%. High-risk situation requiring immediate attention. Potential workplace safety incidents and regulatory violations.,Conduct immediate safety assessment of hazardous material handling practices. Review all bio-hazardous waste generation processes for containment. Ensure proper training for all staff handling hazardous materials. Audit hazardous waste storage areas for compliance. Consider process changes to eliminate hazardous material use where possible.,สัดส่วนขยะอันตรายต่อขยะทั้งหมดสูงขึ้น|ขยะชีวอันตรายเพิ่ม >20%|เสี่ยงต่อความปลอดภัยในที่ทำงาน,ประเมินความปลอดภัยการจัดเก็บทันที|ตรวจสอบพื้นที่จัดเก็บให้ได้มาตรฐาน|อบรมพนักงานที่สัมผัสวัตถุอันตราย,Hazardous waste proportion increasing|Bio-hazardous waste up >20%|Workplace safety at risk,Assess storage safety immediately|Ensure storage areas meet standards|Train staff handling hazardous materials
9,Contamination_Crisis,Contamination Crisis,วิกฤตการปนเปื้อน,contamination_risk_index > 0.5 AND recyclable_contamination_alert > 0.08,"Severe contamination of recyclable streams. General waste/recyclable ratio deteriorating rapidly. Risk of recycling program rejection by contractors. May force all waste to landfill, dramatically increasing costs and environmental impact.",Immediately inspect recycling collection points for contamination sources. Install contamination monitoring and feedback system. Place 'contamination spotters' to identify problem areas/times. Simplify recycling categories if confusion exists. Consider temporary suspension and relaunch with intensive education campaign.,วัสดุรีไซเคิลปนเปื้อนรุนแรง|ผู้รับซื้ออาจปฏิเสธรับซื้อ|อาจต้องส่งฝังกลบทั้งหมด ต้นทุนพุ่ง,ตรวจจุดรวบรวมหาแหล่งปนเปื้อน|ลดความซับซ้อนหมวดหมู่รีไซเคิล|ติดป้ายตัวอย่างสิ่งที่ห้ามทิ้งปน,"Severe recyclable contamination|Buyers may reject materials|May force all waste to landfill, costs surge",Inspect collection points for contamination sources|Simplify recycling categories|Post examples of prohibited items
10,Waste_Prevention_Failure,Waste Prevention Failure,การป้องกันขยะล้มเหลว,waste_prevention_effectiveness < -200 AND waste_intensity_improvement < -15,Source reduction failing across multiple categories. Waste intensity increasing >15%. Indicates fundamental failure in waste prevention strategy. Prevention is most cost-effective approach - failure here multiplies downstream costs.,"Root cause analysis of waste generation drivers. Map waste to specific processes and products. Engage procurement to identify source reduction opportunities (bulk purchasing, reusable packaging). Implement waste prevention metrics in operational KPIs. Consider industrial ecology approaches and by-product synergies with other facilities.",การลดขยะจากต้นทางล้มเหลว|ปริมาณขยะต่อหน่วยเพิ่มขึ้น >15%|ต้นทุนกำจัดขยะสูงขึ้นทุกหมวด,วิเคราะห์ต้นเหตุของขยะแต่ละประเภท|ทำงานกับจัดซื้อเพื่อลดบรรจุภัณฑ์|กำหนด KPI ลดขยะในแต่ละแผนก,Source reduction failing|Waste intensity up >15%|Disposal costs rising across all categories,Analyze root cause of each waste type|Work with procurement to reduce packaging|Set waste reduction KPIs per department
